Skilaboð,Day
11538,Monday
10995,Tuesday
10073,Wednesday
10329,Thursday
11504,Friday
10406,Saturday
10743,Sunday
11092,Monday
10798,Tuesday
9237,Wednesday
10795,Thursday
10977,Friday
10216,Saturday
9895,Sunday
10190,Monday
10805,Tuesday
10791,Wednesday
9714,Thursday
10503,Friday
11202,Saturday
9336,Sunday
10186,Friday
9568,Saturday
11428,Sunday
10004,Monday
10226,Tuesday
11247,Wednesday
9969,Thursday
9838,Friday
9625,Saturday
7618,Sunday
