Skilaboð,Klukkutími
2563,0
1681,1
1201,2
402,3
212,4
126,5
163,6
375,7
745,8
893,9
1394,10
2645,11
2961,12
3743,13
3551,14
3655,15
3849,16
3782,17
3712,18
3692,19
3446,20
3143,21
2666,22
2653,23
