Skilaboð,Klukkutími
13791,0
8889,1
4949,2
2394,3
1355,4
852,5
574,6
1878,7
5481,8
8369,9
12442,10
15443,11
19273,12
21906,13
23247,14
22883,15
24396,16
24432,17
24177,18
23118,19
20990,20
19169,21
15487,22
14410,23
