Skilaboð,Dagur
11538,1
10995,2
10073,3
10329,4
11504,5
10406,6
10743,7
11092,8
10798,9
9237,10
10795,11
10977,12
10216,13
9895,14
10190,15
10805,16
10791,17
9714,18
10503,19
11202,20
9336,21
10186,22
9568,23
11428,24
10004,25
10226,26
11247,27
9969,28
9838,29
9625,30
7618,31
