Skilaboð,Klukkutími
13612,0
8874,1
4869,2
2379,3
1347,4
809,5
565,6
1789,7
5251,8
8125,9
11859,10
14899,11
18555,12
21374,13
22680,14
22152,15
23428,16
23621,17
23646,18
22507,19
20409,20
18687,21
15187,22
14224,23
