Skilaboð,Klukkutími
3061,0
2058,1
1247,2
624,3
494,4
239,5
39,6
147,7
712,8
1610,9
2327,10
2639,11
3588,12
3662,13
4170,14
4135,15
4619,16
6246,17
6236,18
5387,19
5304,20
4757,21
3808,22
3286,23
