Skilaboð,Day
1781,1
1445,2
1827,3
1513,4
1766,5
1204,6
1650,7
1809,8
2076,9
1137,10
1455,11
1415,12
908,13
1225,14
2057,15
2151,16
1340,17
1687,18
1619,19
2178,20
1099,21
1344,22
1269,23
1587,24
2023,25
1991,26
2326,27
1948,28
1922,29
1602,30
571,31
