Skilaboð,Klukkutími
2003,0
1198,1
553,2
276,3
71,4
61,5
33,6
121,7
577,8
608,9
1216,10
2312,11
2443,12
3170,13
4151,14
3010,15
3191,16
3946,17
4417,18
3896,19
3584,20
3647,21
2940,22
2501,23
