Skilaboð,Klukkutími
1593,0
545,1
234,2
102,3
39,4
31,5
142,6
801,7
2166,8
2947,9
4328,10
4318,11
4569,12
5354,13
5519,14
5221,15
5146,16
4332,17
3655,18
3851,19
3338,20
2830,21
2801,22
1997,23
