Skilaboð,Day
1389,Sunday
1943,Monday
1678,Tuesday
1786,Wednesday
1930,Thursday
1559,Friday
1455,Saturday
1407,Sunday
1619,Monday
1785,Tuesday
1808,Wednesday
1384,Thursday
1604,Friday
1343,Saturday
1484,Sunday
1745,Monday
2027,Tuesday
2263,Wednesday
1800,Thursday
1293,Friday
1557,Saturday
1572,Sunday
1729,Monday
2222,Tuesday
1653,Wednesday
1619,Thursday
1570,Friday
1802,Friday
1931,Saturday
1372,Thursday
950,Friday
