Skilaboð,Dagur
1389,1
1943,2
1678,3
1786,4
1930,5
1559,6
1455,7
1407,8
1619,9
1785,10
1808,11
1384,12
1604,13
1343,14
1484,15
1745,16
2027,17
2263,18
1800,19
1293,20
1557,21
1572,22
1729,23
2222,24
1653,25
1619,26
1570,27
1802,28
1931,29
1372,30
950,31
