date,message
2016-09-14 15:44:36,"Dr. Poop Connoisseur named the group Shape 2 back bois."
2016-10-09 22:48:05,"Dr. Helmingur á þakinu (Nerd) named the group Hard in the paint bois."
2016-10-13 13:26:01,"Dr. Poop zza named the group Hard in the delet."
2016-10-15 18:01:35,"Dr. Cardi-O Grafíkman named the group Hard in the paint."
2016-10-28 00:31:13,"Dr. Cardi-O Grafíkman named the group Hard in the rock."
2016-10-28 09:29:19,"Dr. Sefurhjástelpu named the group Jólabústaður."
2016-11-26 21:51:19,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Jólabústaður ( ͡° ͜ʖ ͡°)."
2016-12-06 10:44:20,"Dr. Helmingur á þakinu (Nerd) named the group JólaSwissMiss ( ͡° ͜ʖ ͡°)."
2016-12-06 10:44:49,"Dr. Cardi-O Grafíkman named the group JólaSwissMiss ☕️ ( ͡° ͜ʖ ͡°)."
2016-12-10 01:21:52,"Dr. Doobeasy named the group Getter?MoreLikeShitter ( ͡° ͜ʖ ͡°)."
2016-12-10 01:34:09,"Dr. Helmingur á þakinu (Nerd) named the group Ægir? More like Faggit #noboozesteð ( ͡° ͜ʖ ͡°)."
2016-12-11 17:50:09,"Dr. Double Digit Big Bucks Boner Maker named the group Bústaður? smh."
2016-12-14 19:48:02,"Dr. Sefurhjástelpu named the group Bústaður? 27-29."
2016-12-14 19:48:18,"Dr. Doobeasy named the group Bústaður - 27-29."
2016-12-14 19:48:31,"Dr. Doobeasy named the group Bústaður 27-29."
2016-12-19 11:20:28,"Dr. Helmingur á þakinu (Nerd) named the group Cuckstaður 27-29."
2016-12-25 15:21:00,"Dr. Helmingur á þakinu (Nerd) named the group Cuckstaður Núna-29."
2016-12-26 20:06:52,"Dr. Sefurhjástelpu named the group Well gg."
2016-12-26 23:17:17,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Lausir í brunch 28?"
2016-12-28 15:21:43,"You named the group Imo Tbh Rip Brauð."
2016-12-31 14:26:06,"Dr. Doobeasy named the group Cuckbois."
2016-12-31 14:26:36,"Dr. Poop zza named the group Bois."
2016-12-31 14:26:48,"Dr. Helmingur á þakinu (Nerd) named the group Áramótabois."
2017-01-02 01:17:39,"Dr. Helmingur á þakinu (Nerd) named the group >:l 2017 Bois >:l."
2017-01-02 01:50:15,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group >:l >:l >:l >:l."
2017-01-06 21:24:05,"Dr. Aggressive Giggi Gúrka Wincest named the group >:l Hard Rock Kl 8 >:|."
2017-01-06 21:24:50,"Dr. Cardi-O Grafíkman named the group >:l Hard Rock Kl 8 >:| svo ætlum við að deija 😎😵."
2017-01-10 21:32:28,"Dr. Cardi-O Grafíkman named the group Brunch 28. des búið að panta borð fyrir 13."
2017-01-13 13:02:03,"Dr. Sefurhjástelpu named the group Kaffi hjá jóa 13:00."
2017-01-13 18:26:49,"Dr. Poop Connoisseur named the group Bjöllara Tjattið."
2017-01-13 19:12:31,"Dr. Cardi-O Grafíkman named the group Bjöllara Tjattið cuck haha mememe."
2017-01-13 19:13:26,"Dr. Cardi-O Grafíkman named the group the bois that will die soon."
2017-01-16 16:32:41,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Goon Squad."
2017-01-16 16:33:23,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Paul Blart And The Memesquad."
2017-01-19 12:00:55,"Dr. Helmingur á þakinu (Nerd) named the group Paul Bloobs And The Oatsquad."
2017-01-23 10:54:52,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Engin Getter Gifs."
2017-01-23 11:03:09,"Dr. Helmingur á þakinu (Nerd) named the group Getter ferð 2k17."
2017-01-23 11:03:50,"Dr. Cardi-O Grafíkman named the group Better ferð 2k17."
2017-01-27 13:27:55,"Dr. Aggressive Giggi Gúrka Wincest named the group Getter ferð 2k17."
2017-01-27 13:28:17,"Dr. Doobeasy named the group Rif ferð 2k17."
2017-01-30 13:17:08,"Dr. Doobeasy named the group Rif ferð 2k17 - Planað á ts."
