Skilaboð,Dagur
12002,1
11187,2
10404,3
10492,4
11559,5
10525,6
10969,7
11184,8
10923,9
9344,10
10909,11
11047,12
10425,13
10130,14
10386,15
11109,16
11039,17
9963,18
10640,19
11414,20
9509,21
10799,22
10200,23
11873,24
10482,25
10910,26
11598,27
10729,28
10454,29
10082,30
7618,31
