Skilaboð,Klukkutími
1586,0
1151,1
402,2
170,3
75,4
139,5
163,6
662,7
1818,8
2427,9
3423,10
3354,11
4772,12
4773,13
4697,14
5100,15
5241,16
3857,17
3732,18
3745,19
3103,20
3016,21
2110,22
1796,23
