Skilaboð,Klukkutími
1407,0
1136,1
322,2
155,3
67,4
96,5
154,6
573,7
1588,8
2183,9
2840,10
2810,11
4054,12
4241,13
4130,14
4369,15
4273,16
3046,17
3201,18
3134,19
2522,20
2534,21
1810,22
1610,23
