Skilaboð,Klukkutími
11691,0
7400,1
4423,2
2212,3
1276,4
695,5
391,6
1078,7
3123,8
5450,9
8545,10
11498,11
13814,12
16017,13
17392,14
16629,15
18028,16
19331,17
19526,18
18519,19
16843,20
15627,21
12714,22
12187,23
