Skilaboð,Day
8949,Tuesday
9207,Wednesday
8219,Thursday
7618,Friday
8970,Saturday
7817,Sunday
8271,Monday
8479,Tuesday
8494,Wednesday
7129,Thursday
8195,Friday
8828,Saturday
7897,Sunday
7771,Monday
7948,Tuesday
8490,Wednesday
8874,Thursday
7307,Friday
8052,Saturday
9344,Sunday
7361,Monday
7870,Tuesday
7710,Wednesday
9367,Thursday
8424,Friday
8415,Wednesday
9300,Thursday
8195,Friday
7870,Saturday
7697,Sunday
6341,Monday
