Skilaboð,Klukkutími
2061,0
1474,1
608,2
358,3
193,4
95,5
74,6
319,7
994,8
1548,9
2508,10
2802,11
3257,12
3856,13
4057,14
3987,15
4223,16
3643,17
3275,18
3250,19
2819,20
1729,21
2011,22
2138,23
